Re-ID,X,Y
4,324,78
14,119,394
4,344,178
4,319,69
14,119,394
4,345,177
4,319,71
14,119,394
4,312,53
4,350,175
14,119,394
4,316,64
4,378,174
14,120,394
4,318,70
4,425,236
14,119,394
4,318,70
4,441,257
14,119,393
4,317,71
4,452,298
14,119,394
4,452,310
2,322,77
14,120,395
2,324,70
4,442,322
14,120,395
4,328,67
4,424,334
14,122,395
4,382,372
2,337,77
14,121,395
4,363,389
2,338,80
