Timestamp,Floor_point,Re-ID
2020-04-10 00:00:19.400000,"[161.0, 428.0]",9
2020-04-10 00:00:19.400000,"[382.0, 141.0]",3
2020-04-10 00:00:19.400000,"[429.0, 257.0]",4
2020-04-10 00:00:19.400000,"[420.0, 334.0]",10
2020-04-10 00:00:20.066667,"[174.0, 443.0]",9
2020-04-10 00:00:20.066667,"[428.0, 253.0]",4
2020-04-10 00:00:20.066667,"[389.0, 167.0]",3
2020-04-10 00:00:20.066667,"[424.0, 333.0]",10
2020-04-10 00:00:20.733333,"[467.0, 268.0]",11
2020-04-10 00:00:20.733333,"[160.0, 427.0]",9
2020-04-10 00:00:20.733333,"[388.0, 165.0]",3
2020-04-10 00:00:20.733333,"[429.0, 255.0]",4
2020-04-10 00:00:20.733333,"[424.0, 334.0]",10
2020-04-10 00:00:21.400000,"[228.0, 196.0]",12
2020-04-10 00:00:21.400000,"[390.0, 171.0]",3
2020-04-10 00:00:21.400000,"[177.0, 458.0]",9
2020-04-10 00:00:21.400000,"[430.0, 260.0]",4
2020-04-10 00:00:21.400000,"[424.0, 332.0]",10
2020-04-10 00:00:22.066667,"[184.0, 487.0]",9
2020-04-10 00:00:22.066667,"[389.0, 167.0]",3
2020-04-10 00:00:22.066667,"[428.0, 252.0]",4
2020-04-10 00:00:22.066667,"[245.0, 185.0]",12
2020-04-10 00:00:22.066667,"[422.0, 333.0]",10
2020-04-10 00:00:22.733333,"[180.0, 453.0]",9
2020-04-10 00:00:22.733333,"[388.0, 168.0]",3
2020-04-10 00:00:22.733333,"[430.0, 258.0]",4
2020-04-10 00:00:22.733333,"[252.0, 180.0]",12
2020-04-10 00:00:22.733333,"[424.0, 332.0]",10
2020-04-10 00:00:23.400000,"[471.0, 280.0]",11
2020-04-10 00:00:23.400000,"[195.0, 504.0]",9
2020-04-10 00:00:23.400000,"[428.0, 252.0]",4
2020-04-10 00:00:23.400000,"[385.0, 158.0]",3
2020-04-10 00:00:23.400000,"[252.0, 180.0]",12
2020-04-10 00:00:23.400000,"[420.0, 335.0]",10
2020-04-10 00:00:24.066667,"[201.0, 521.0]",9
2020-04-10 00:00:24.066667,"[434.0, 327.0]",5
2020-04-10 00:00:24.066667,"[388.0, 167.0]",3
2020-04-10 00:00:24.066667,"[427.0, 249.0]",4
2020-04-10 00:00:24.066667,"[416.0, 324.0]",10
2020-04-10 00:00:24.066667,"[251.0, 180.0]",12
2020-04-10 00:00:24.733333,"[193.0, 516.0]",9
2020-04-10 00:00:24.733333,"[244.0, 184.0]",12
2020-04-10 00:00:24.733333,"[400.0, 310.0]",10
2020-04-10 00:00:24.733333,"[389.0, 170.0]",3
2020-04-10 00:00:24.733333,"[400.0, 358.0]",5
2020-04-10 00:00:24.733333,"[433.0, 265.0]",4
2020-04-10 00:00:25.400000,"[203.0, 525.0]",9
2020-04-10 00:00:25.400000,"[229.0, 191.0]",12
2020-04-10 00:00:25.400000,"[457.0, 251.0]",8
2020-04-10 00:00:25.400000,"[437.0, 274.0]",4
2020-04-10 00:00:25.400000,"[391.0, 172.0]",3
2020-04-10 00:00:25.400000,"[412.0, 330.0]",10
2020-04-10 00:00:25.400000,"[390.0, 364.0]",5
2020-04-10 00:00:26.066667,"[231.0, 197.0]",12
2020-04-10 00:00:26.066667,"[196.0, 516.0]",9
2020-04-10 00:00:26.066667,"[431.0, 254.0]",4
2020-04-10 00:00:26.066667,"[403.0, 354.0]",5
2020-04-10 00:00:26.066667,"[457.0, 255.0]",8
2020-04-10 00:00:26.066667,"[432.0, 317.0]",10
2020-04-10 00:00:26.066667,"[392.0, 175.0]",3
2020-04-10 00:00:26.733333,"[457.0, 256.0]",8
2020-04-10 00:00:26.733333,"[416.0, 208.0]",4
2020-04-10 00:00:26.733333,"[198.0, 518.0]",9
2020-04-10 00:00:26.733333,"[228.0, 195.0]",12
2020-04-10 00:00:26.733333,"[386.0, 170.0]",3
2020-04-10 00:00:26.733333,"[441.0, 315.0]",10
2020-04-10 00:00:27.400000,"[443.0, 309.0]",10
2020-04-10 00:00:27.400000,"[228.0, 195.0]",12
2020-04-10 00:00:27.400000,"[197.0, 517.0]",9
2020-04-10 00:00:27.400000,"[383.0, 144.0]",3
2020-04-10 00:00:27.400000,"[422.0, 338.0]",5
2020-04-10 00:00:28.066667,"[405.0, 175.0]",12
2020-04-10 00:00:28.066667,"[193.0, 515.0]",9
2020-04-10 00:00:28.066667,"[443.0, 312.0]",10
2020-04-10 00:00:28.066667,"[227.0, 196.0]",12
2020-04-10 00:00:28.733333,"[180.0, 524.0]",9
2020-04-10 00:00:28.733333,"[387.0, 120.0]",3
2020-04-10 00:00:28.733333,"[227.0, 192.0]",12
2020-04-10 00:00:28.733333,"[407.0, 168.0]",2
2020-04-10 00:00:29.400000,"[413.0, 342.0]",5
2020-04-10 00:00:29.400000,"[394.0, 173.0]",3
2020-04-10 00:00:29.400000,"[404.0, 162.0]",2
2020-04-10 00:00:29.400000,"[228.0, 193.0]",12
2020-04-10 00:00:29.400000,"[163.0, 560.0]",5
2020-04-10 00:00:29.400000,"[452.0, 308.0]",10
2020-04-10 00:00:30.066667,"[393.0, 173.0]",3
2020-04-10 00:00:30.066667,"[405.0, 166.0]",2
2020-04-10 00:00:30.066667,"[228.0, 196.0]",12
2020-04-10 00:00:30.066667,"[452.0, 309.0]",10
2020-04-10 00:00:30.733333,"[406.0, 163.0]",2
2020-04-10 00:00:30.733333,"[415.0, 341.0]",5
2020-04-10 00:00:30.733333,"[391.0, 167.0]",3
2020-04-10 00:00:30.733333,"[230.0, 199.0]",12
2020-04-10 00:00:30.733333,"[454.0, 305.0]",10
2020-04-10 00:00:31.400000,"[408.0, 163.0]",2
2020-04-10 00:00:31.400000,"[414.0, 341.0]",5
2020-04-10 00:00:31.400000,"[228.0, 193.0]",12
2020-04-10 00:00:31.400000,"[386.0, 171.0]",3
2020-04-10 00:00:31.400000,"[453.0, 309.0]",10
2020-04-10 00:00:32.066667,"[408.0, 161.0]",2
2020-04-10 00:00:32.066667,"[228.0, 196.0]",12
2020-04-10 00:00:32.066667,"[446.0, 310.0]",10
2020-04-10 00:00:32.066667,"[415.0, 340.0]",5
2020-04-10 00:00:32.066667,"[385.0, 167.0]",3
2020-04-10 00:00:32.733333,"[415.0, 340.0]",5
2020-04-10 00:00:32.733333,"[415.0, 191.0]",2
2020-04-10 00:00:32.733333,"[384.0, 161.0]",3
2020-04-10 00:00:32.733333,"[228.0, 196.0]",12
2020-04-10 00:00:33.400000,"[415.0, 188.0]",2
2020-04-10 00:00:33.400000,"[229.0, 197.0]",12
2020-04-10 00:00:33.400000,"[384.0, 162.0]",3
2020-04-10 00:00:33.400000,"[415.0, 342.0]",5
2020-04-10 00:00:33.400000,"[443.0, 312.0]",10
2020-04-10 00:00:34.066667,"[228.0, 197.0]",12
2020-04-10 00:00:34.066667,"[415.0, 340.0]",5
2020-04-10 00:00:34.066667,"[385.0, 165.0]",3
2020-04-10 00:00:34.733333,"[469.0, 271.0]",11
2020-04-10 00:00:34.733333,"[431.0, 278.0]",10
